Simple Voice Chat;https://modrinth.com/plugin/simple-voice-chat;A working voice chat in Minecraft!;2.85M downloads
Let Me Despawn;https://modrinth.com/plugin/lmd;Improves performance by tweaking mob despawn rules. Say bye to pesky unintentional persistent mobs.;836.6k downloads
Chunky;https://modrinth.com/plugin/chunky;Pre-generates chunks, quickly and efficiently;587.3k downloads
Plasmo Voice;https://modrinth.com/plugin/plasmo-voice;A proximity voice chat mod with audio positioning and lots of features;555.1k downloads
ItemSwapper;https://modrinth.com/plugin/itemswapper;Inventory update concept for hotswapping items.;309.7k downloads
WorldEdit;https://modrinth.com/plugin/worldedit;A Minecraft Map Editor... that runs in-game!;
With selections, schematics, copy and paste, brushes, and scripting.;;;
Use it in creative, or use it temporarily in survival.;247.3k downloads;;
Customizable Player Models;https://modrinth.com/plugin/custom-player-models;Customize your minecraft avatar!;182.9k downloads
Terra;https://modrinth.com/plugin/terra;World generation modding/configuration platform;182.4k downloads
Veinminer;https://modrinth.com/datapack/veinminer;Mine the whole vine on mining a single ore. Known feature by modpacks and pvp games like UHC (quick mine);168.3k downloads
ViaVersion;https://modrinth.com/plugin/viaversion;Allow newer clients to connect to older servers.;127.0k downloads
DiscordSRV;https://modrinth.com/plugin/discordsrv;The most powerful, configurable, open-source Discord to Minecraft bridging plugin available.;124.3k downloads
CoreProtect;https://modrinth.com/plugin/coreprotect;CoreProtect is a fast, efficient, data logging and anti-griefing tool. Rollback and restore any amount of damage. Designed with large servers in mind, CoreProtect will record and manage data without impacting your server performance.;110.2k downloads
TAB;https://modrinth.com/plugin/tab-was-taken;An all-in-one solution that works;99.1k downloads
CrazyCrates;https://modrinth.com/plugin/crazycrates;Add unlimited crates to your server with 10 different crate types to choose from!;86.2k downloads
NBT-API;https://modrinth.com/plugin/nbtapi;Add custom NBT tags to Items/Tiles/Entities without NMS;79.3k downloads
Dynmap®;https://modrinth.com/plugin/dynmap;A Google Maps-like map for your Minecraft server that can be viewed in a browser. Easy to set up when making use of Dynmap's integrated webserver, while also supporting advanced deployment with Apache and other web servers.;76.9k downloads
ViaBackwards;https://modrinth.com/plugin/viabackwards;Allow older clients to connect to newer servers.;54.8k downloads
Beenfo;https://modrinth.com/plugin/beenfo;Show number of bees and honey level in hives and nests;48.3k downloads
TabTPS;https://modrinth.com/plugin/tabtps;Monitor your server's performance in the tab menu, boss bar, and action bar;44.1k downloads
PowerRanks;https://modrinth.com/plugin/powerranks;Rank-based permission manager for servers.;44.1k downloads
